Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.ror.json	39844	-	0	0	0	0	0	0	5	105	0	0	0	0	0	0	0	1	0	0	287	280	0	0	0	0	9	0	1
fsh-generated/resources/CapabilityStatement-ror-consommateur.json	25311	26	0	0	0	0	0	0	1	108	0	0	0	0	0	0	0	0	0	0	147	74	0	0	1	0	3	0	1
fsh-generated/resources/CapabilityStatement-ror-serveur.json	25384	21	0	0	0	0	0	0	1	108	0	0	0	0	0	0	0	1	0	0	138	43	0	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-act-type-ror-codesystem.json	708	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	13	1328	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-input-task-ror-codesystem.json	1259	3	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	59	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-output-task-ror-codesystem.json	729	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	49	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ror-include-associated-data-code-system.json	821	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	47	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ror-questionnaire-offre-de-ville.json	58839	63	7	0	0	0	0	0	2	1761	0	0	0	0	0	0	0	1	0	0	598	622	0	0	1	0	14	0	0
fsh-generated/resources/SearchParameter-ror-sp-additional-bed-type.json	613	4	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-closing-type.json	631	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-status.json	590	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-type.json	580	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	5	0	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-update-date.json	621	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-crisis-type.json	563	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-equipment-feature.json	626	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-equipment-type.json	586	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-gender-capacity-available.json	648	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-age-range-high.json	775	3	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	1
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-age-range-low.json	770	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-equipment-type.json	687	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-intervention-zone.json	670	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-patient-type.json	668	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-psychiatric-sector.json	667	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-limit-value.json	604	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-location-commune-cog.json	601	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-location-near-insee-code.json	666	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-nb-capacity.json	574	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	4	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-closing-type.json	653	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-drop-zone.json	596	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-oi-name.json	555	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-period-end.json	561	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0	0	0
