Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.ror.json	39227	-	0	0	0	0	0	0	7	96	0	0	0	0	0	0	0	1	0	0	256	203	0	0	0	8	0	1
fsh-generated/resources/CapabilityStatement-ror-consommateur.json	16713	19	1	0	0	1	0	0	0	72	0	0	0	0	0	0	0	0	0	0	101	49	0	1	0	3	0	0
fsh-generated/resources/CapabilityStatement-ror-serveur.json	17482	14	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0	0	0	94	44	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-act-type-ror-codesystem.json	708	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	1408	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-input-task-ror-codesystem.json	1259	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	88	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-output-task-ror-codesystem.json	729	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	10	81	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ror-include-associated-data-code-system.json	913	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	53	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-additional-bed-type.json	613	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-closing-type.json	631	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-status.json	590	2	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-type.json	580	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-capacity-update-date.json	621	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-crisis-type.json	563	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-equipment-feature.json	626	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-equipment-type.json	586	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-gender-capacity-available.json	648	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-age-range-high.json	775	2	1	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	13	7	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-age-range-low.json	770	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-equipment-type.json	687	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-intervention-zone.json	670	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-patient-type.json	668	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	1	0	1
fsh-generated/resources/SearchParameter-ror-sp-healthcareservice-psychiatric-sector.json	667	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-limit-value.json	604	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-location-commune-cog.json	601	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-location-near-insee-code.json	666	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-nb-capacity.json	574	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-closing-type.json	653	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-drop-zone.json	596	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-oi-name.json	555	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-period-end.json	561	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-price-amount-value.json	639	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ror-sp-organization-price-dependency-level.json	683	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
